"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"20.07.2021","146,15","143,46","147,10","142,96","96,35M","2,60%"
"19.07.2021","142,45","143,75","144,07","141,67","121,43M","-2,69%"
"16.07.2021","146,39","148,46","149,76","145,88","93,25M","-1,41%"
"15.07.2021","148,48","149,24","150,00","147,09","106,82M","-0,45%"
"14.07.2021","149,15","148,10","149,57","147,68","127,05M","2,41%"
"13.07.2021","145,64","144,03","147,46","143,63","100,83M","0,79%"
"12.07.2021","144,50","146,21","146,32","144,00","76,30M","-0,42%"
"09.07.2021","145,11","142,75","145,65","142,65","99,89M","1,31%"
"08.07.2021","143,24","141,58","144,06","140,66","105,58M","-0,92%"
"07.07.2021","144,57","143,53","144,89","142,66","104,91M","1,80%"
"06.07.2021","142,02","140,07","143,15","140,07","108,18M","1,47%"
"02.07.2021","139,96","137,90","140,00","137,75","78,95M","1,96%"
"01.07.2021","137,27","136,60","137,33","135,76","52,49M","0,23%"
"30.06.2021","136,96","136,17","137,41","135,87","63,26M","0,46%"
"29.06.2021","136,33","134,80","136,49","134,35","64,56M","1,15%"
"28.06.2021","134,78","133,41","135,25","133,35","62,11M","1,25%"
"25.06.2021","133,11","133,46","133,89","132,81","70,78M","-0,22%"
"24.06.2021","133,41","134,45","134,64","132,93","68,71M","-0,22%"
"23.06.2021","133,70","133,77","134,32","133,23","60,21M","-0,21%"
"22.06.2021","133,98","132,13","134,08","131,62","74,78M","1,27%"
"21.06.2021","132,30","130,30","132,41","129,21","79,66M","1,41%"
"18.06.2021","130,46","130,71","131,51","130,24","108,95M","-1,01%"
"17.06.2021","131,79","129,80","132,55","129,65","96,72M","1,26%"
"16.06.2021","130,15","130,37","130,89","128,46","91,82M","0,39%"
"15.06.2021","129,64","129,94","130,60","129,39","62,75M","-0,64%"
"14.06.2021","130,48","127,82","130,54","127,07","96,91M","2,46%"
"11.06.2021","127,35","126,53","127,44","126,10","53,52M","0,98%"
"10.06.2021","126,11","127,02","128,19","125,94","71,19M","-0,80%"
"09.06.2021","127,13","127,21","127,75","126,52","56,88M","0,31%"
"08.06.2021","126,74","126,60","128,46","126,21","74,40M","0,67%"
"07.06.2021","125,90","126,17","126,32","124,83","71,06M","0,01%"
"04.06.2021","125,89","124,07","126,16","123,85","75,17M","1,90%"
"03.06.2021","123,54","124,68","124,85","123,13","76,23M","-1,22%"
"02.06.2021","125,06","124,28","125,24","124,05","59,28M","0,63%"
"01.06.2021","124,28","125,08","125,35","123,94","67,64M","-0,26%"
"28.05.2021","124,61","125,57","125,80","124,55","71,31M","-0,53%"
"27.05.2021","125,28","126,44","127,64","125,08","94,63M","-1,24%"
"26.05.2021","126,85","126,95","127,39","126,42","56,58M","-0,04%"
"25.05.2021","126,90","127,82","128,32","126,32","72,01M","-0,16%"
"24.05.2021","127,10","126,01","127,94","125,94","63,09M","1,33%"
"21.05.2021","125,43","127,82","128,00","125,21","79,30M","-1,48%"
